Property Name,,Address,,,,,,Latitude ,,Longitude,Owner ,,,,
Woodpine Way,,"421 S. Westover Blvd, Albany, GA 31707",,,,,,31.3409 N,,84.1332 W,Hall,,,,
,,,,,,,,,,,,,,,
Westover Place,,"419  S. Westover Blvd, Albany, GA 31707",,,,,,31.3411 N,,84.1335 W,Hall,,,,
,,,,,,,,,,,,,,,
Cornerstone,,"1702 Cornerstone Drive, Alexander City, AL 35010",,,,,,32.5615 N,,85.5825 W,Hall,,,,
,,,,,,,,,,,,,,,
Sun Pointe,,"130 Sun Pointe Dr, Andalusia, AL 36421",,,,,,31.1822 N,,86.3004 W,Hall,,,,
,,,,,,,,,,,,,,,
Franklin Pointe,,"350 Frank Price Blvd, Clinton, TN 37716",,,,,,36.0951 N,,84.0536 W,Hall,,,,
,,,,,,,,,,,,,,,
Beasley Pointe,,"501 beasley Pointe Drive, Dickson, TN 37055",,,,,,36.0346 N,,87.2259 W,Hall,,,,
,,,,,,,,,,,,,,,
Beverlye Crossing II,,"280 Crossing Lane, Dothan, AL 36303",,,,,,31.1251 N,,852120 W,Hall,,,,
,,,,,,,,,,,,,,,
Brewington Pointe,,"312 Scott St, Brewton, AL 36426",,,,,,31.0551 N,,87.0519 W,Hall,,,,
,,,,,,,,,,,,,,,
River Run,,"160 The Trail, Brewton, AL 36426",,,,,,31.0831 N,,87.0400 W,Hall,,,,
,,,,,,,,,,,,,,,
Highgate,,"2300 Chapelridge Dr, Gardendale, AL 35071",,,,,,33.3833 N,,86.5015 W,Hall,,,,
,,,,,,,,,,,,,,,
River Pointe,,"132 River Pointe, Childersburg, AL 35044",,,,,,33.1709 N,,86.2159 W,Hall,,,,
,,,,,,,,,,,,,,,
Columbia Hall,,"101 Radney St, Columbia, AL 36319",,,,,,31.1734 N,,85.0621 W,Hall,,,,
,,,,,,,,,,,,,,,
Eagle Ridge Place,,"1181 Murray Rd, Dothan, AL 36303",,,,,,31.1527 N,,85.2434 W,Hall,,,,
,,,,,,,,,,,,,,,
Eagle Ridge,,"1181 Murray Rd, Dothan, AL 36303",,,,,,31.1527 N,,85.2434 W,Hall,,,,
,,,,,,,,,,,,,,,
Emerald Pointe,,"111 Woodlawn Dr, Dublin, GA 31021",,,,,,32.3248 N,,82.5509 W,Hall,,,,
,,,,,,,,,,,,,,,
Cornrestone Place,,"1702 Cornerstone Dr, Alexander City, AL 35010",,,,,,32.5619 N,,85.5820 W,Hall,,,,
,,,,,,,,,,,,,,,
Heritage Gardens,,"2572 Co Rd 25, Dothan, AL 36303",,,,,,31.1803 N,,85.2610 W,Hall,,,,
,,,,,,,,,,,,,,,
Regency Pointe II,,"501 Greentree LN, Foley, AL 36535",,,,,,30.2415 N,,87.3940 W,Hall,,,,
,,,,,,,,,,,,,,,
Fords Mill,,"2009 40th St, Valley, AL 36854",,,,,,32.4959 N,,85.1040 W,Hall,,,,
,,,,,,,,,,,,,,,
Biltmore Place,,"2810 Fortner St, Dothan AL 36305",,,,,,31.1243 N,,85.2602 W,Hall,,,,
,,,,,,,,,,,,,,,
Gist Creek,,"446 Gists Creek Rd, Sevierville, TN 37876",,,,,,35.5326 N,,83.3618 W,Hall,,,,
,,,,,,,,,,,,,,,
Fontana Pointe,,Highway 11E near Harlan Street (refer to coordinates),,,,,,36.1106 N,,82.4541 W,Hall,,,,
,,,,,,,,,,,,,,,
Hidden Pointe,,"70 Hughes St, Daleville, AL 36322",,,,,,31.1850 N,,85.4248W,Hall,,,,
,,,,,,,,,,,,,,,
Honeysuckle Grove,,"1780 Honeysuckle Rd, Dothan, AL 36305",,,,,,31.1213 N,,85.2613 W,Hall,,,,
,,,,,,,,,,,,,,,
Honeysuckle Place,,"1780 Honeysuckle Rd, Dothan, AL 36305",,,,,,31.1218 N,,85.2613 W,Hall,,,,
,,,,,,,,,,,,,,,
The Kensley,,"31230 Stagecoach Rd, Spanish Fort, AL 36527",,,,,,30.4050 N,,87.5128 W,Hall,,,,
,,,,,,,,,,,,,,,
Kelly Pointe,,"155 Kelly Ln, Lenoir City, TN 37771",,,,,,35.4758 N,,84.1550 W,Hall,,,,
,,,,,,,,,,,,,,,
South Place,,"8 South Pl, Luverne, AL 36049",,,,,,31.4205 N,,86.1536 W,Hall,,,,
,,,,,,,,,,,,,,,
South Pointe,,"8 South Pl, Luverne, AL 36049",,,,,,31.4208 N,,86.1539 W,Hall,,,,
,,,,,,,,,,,,,,,
Island Grove,,"150 Willow Creek Drive, Madisonville, TN 37354",,,,,,35.3215 N,,84.2011 W,Hall,,,,
,,,,,,,,,,,,,,,
Orchard Pointe,,"4445 Orchard Pointe Dr, Marianna, FL 32448",,,,,,30.4527 N,,85.1339 W,Hall,,,,
,,,,,,,,,,,,,,,
Laurel Branch,,"106 Laurel Branch Dr, Maryville, TN 37801",,,,,,35.4611 N,,84.0004 W,Hall,,,,
,,,,,,,,,,,,,,,
Wood Springs,,"16940 US-231 H59, Midland City, AL 36350",,,,,,31.1716 N,,85.2816 W,Hall,,,,
,,,,,,,,,,,,,,,
Wood Springs II ,,"16940 US-231 H59, Midland City, AL 36350",,,,,,31.1716 N,,85.2816 W,Hall,,,,
,,,,,,,,,,,,,,,
Waterford Place,,"131 N Pickens St, Milledgeville, GA 31061",,,,,,33.0444 N,,83.1427 W,Hall,,,,
,,,,,,,,,,,,,,,
Monroe Ridge ,,"700 Telford Rd, Sweetwater, TN 37874",,,,,,35.3543 N,,84.3051 W,Hall,,,,
,,,,,,,,,,,,,,,
Avonlea Greene ,,"7315 Avonlea Way, Talbott, TN 37877",,,,,,36.0919 N,,83.2509 W,Hall,,,,
,,,,,,,,,,,,,,,
Peppertree ,,,"8201 Vaughn Rd, Montgomery AL 36116",,,,,32.2024 N ,,86.1012 W,Hall,,,,
,,,,,,,,,,,,,,,
Pike Grove ,,"600 Botts Ave, Troy, AL 36081",,,,,,31.4702 N ,,85.5649 W,Hall,,,,
,,,,,,,,,,,,,,,
Sumner Pointe ,,"1048 Magnolia Springs Rd, Portland, TN 37148",,,,,,36.3726 N,,86.3321 W,Hall,,,,
,,,,,,,,,,,,,,,
Hunter Ridge,,"2901 Hunter Ridge Dr, Birmingham, AL 35235",,,,,,33.3516 N,,86.3949 W,Hall,,,,
,,,,,,,,,,,,,,,
Laurel Pointe ,,"510 E Main St, Statesboro, GA 30458-7009",,,,,,32.2700 N,,81.4533 W,Hall,,,,
,,,,,,,,,,,,,,,
Tallokas Pointe,,"2001 Tallokas Pointe Rd, Moultrie, GA 31768",,,,,,31.0912 N,,83.4627 W,Hall,,,,
,,,,,,,,,,,,,,,
The Groves Place,,"2822 Rainwater Rd, Tifton, GA 31793",,,,,,31.2827 N,,83.3224 W,Hall,,,,
,,,,,,,,,,,,,,,
Hunter Ridge II,,"2901 Hunter Ridge Dr, Birmingham, AL 35235",,,,,,33.3516 N,,86.3949 W,Hall,,,,
,,,,,,,,,,,,,,,
Walnut Square ,,"99 Walnut Square Drive, Thomasville, GA 31757",,,,,,30.5235 N,,83.5643 W,Hall,,,,
,,,,,,,,,,,,,,,
Austin Pointe ,,"115 Ave, Warner Robins, GA 31088",,,,,,32.3652 N,,83.3925 W,Hall,,,,
,,,,,,,,,,,,,,,
Ridgecrest,,"301 Millside Dr, Warner Robins, GA 31088",,,,,,32.3645 N,,83.3920 W,Hall,,,,
,,,,,,,,,,,,,,,
Wellington Place ,,"3960 Mance Newton Rd, Midland City, AL 36350",,,,,,31.1731 N,,85.2809 W,Hall,,,,
,,,,,,,,,,,,,,,
Westchester,,"13 Westchester Ln, Sylacauga, AL 35150",,,,,,33.1145 N,,86.1347 W,Hall,,,,
